,quote,author
428760,"I respect only those who resist me, but I cannot tolerate them.",Charles de Gaulle
428854,"I came across few whites as a boy at Qunu. The local magistrate, of course, was white, as was the nearest shopkeeper. Occasionally, white travelers or policemen passed through our area. These whites appeared as grand as gods to me, and I was aware that they were to be treated with a mixture of fear and respect.",Nelson Mandela
429271,"In a gentle way, you can shake the world.",Mahatma Gandhi
429606,"Without leaps of imagination, or dreaming, we lose the excitement of possibilities. Dreaming, after all, is a form of planning.",Gloria Steinem
429638,"If there are dreams about a beautiful South Africa, there are also roads that lead to their goal. Two of these roads could be named Goodness and Forgiveness.",Nelson Mandela
429866,"Pop culture shapes our ideas of what is normal and what our dreams can be and what our roles are. Politics, of course, decides how the power and the money in the country is distributed. Both are equally important, and each affects the other.",Gloria Steinem
431490,Politics is war without bloodshed while war is politics with bloodshed.,Mao Zedong
431629,"If we are to teach real peace in this world, and if we are to carry on a real war against war, we shall have to begin with the children.",Mahatma Gandhi
431718,"Weapons are an important factor in war, but not the decisive one; it is man and not materials that counts.",Mao Zedong
431854,All oppression creates a state of war.,Simone de Beauvoir
431931,Morality is contraband in war.,Mahatma Gandhi
432016,"War can only be abolished through war, and in order to get rid of the gun it is necessary to take up the gun.",Mao Zedong
432226,"I started to make a study of the art of war and revolution and, whilst abroad, underwent a course in military training. If there was to be guerrilla warfare, I wanted to be able to stand and fight with my people and to share the hazards of war with them.",Nelson Mandela
432890,"In the 1940s, traveling for an African was a complicated process. All Africans over the age of sixteen were compelled to carry 'Native passes' issued by the Native Affairs Department and were required to show that pass to any white policeman, civil servant, or employer. Failure to do so could mean arrest, trial, a jail sentence or fine.",Nelson Mandela
433493,Communism is not love. Communism is a hammer which we use to crush the enemy.,Mao Zedong
433537,"Patriotism is when love of your own people comes first; nationalism, when hate for people other than your own comes first.",Charles de Gaulle
433546,Power is of two kinds. One is obtained by the fear of punishment and the other by acts of love. Power based on love is a thousand times more effective and permanent then the one derived from fear of punishment.,Mahatma Gandhi
433700,A coward is incapable of exhibiting love it is the prerogative of the brave. ,Mahatma Gandhi
433761,"I do not deny that I planned sabotage. I did not plan it in a spirit of recklessness nor because I have any love of violence. I planned it as a result of a calm and sober assessment of the political situation that had arisen after many years of tyranny, exploitation and oppression of my people by the whites.",Nelson Mandela
434271,Most American children suffer too much mother and too little father.,Gloria Steinem
437431,"A pedestal is as much a prison as any small, confined space.",Gloria Steinem
439942,"If you want to make peace with your enemy, you have to work with your enemy. Then he becomes your partner.",Nelson Mandela
439979,It is the quality of our work which will please God and not the quantity.,Mahatma Gandhi
439980,"Let there be work, bread, water and salt for all.",Nelson Mandela
440070,"Enable every woman who can work to take her place on the labour front, under the principle of equal pay for equal work.",Mao Zedong
440087,"If ballots won't work, bullets will.",Malcolm X
440158,"Representation of the world, like the world itself, is the work of men; they describe it from their own point of view, which they confuse with the absolute truth.",Simone de Beauvoir
440273,The cardinal responsibility of leadership is to identify the dominant contradiction at each point of the historical process and to work out a central line to resolve it.,Mao Zedong
440548,"Because I have work to care about, it is possible that I may be less difficult to get along with than other women when the double chins start to form.",Gloria Steinem
441618,The good man is the friend of all living things.,Mahatma Gandhi
441791,"Let a hundred flowers bloom, let a hundred schools of thought contend.",Mao Zedong
442002,Man's nature is not essentially evil. Brute nature has been known to yield to the influence of love. You must never despair of human nature.,Mahatma Gandhi
442012,Man can never be a woman's equal in the spirit of selfless service with which nature has endowed her.,Mahatma Gandhi
442067,"Truth is by nature self-evident. As soon as you remove the cobwebs of ignorance that surround it, it shines clear.",Mahatma Gandhi
442610,"The product of mental labor - science - always stands far below its value, because the labor-time necessary to reproduce it has no relation at all to the labor-time required for its original production.",Karl Marx
442896,"Natural science will in time incorporate into itself the science of man, just as the science of man will incorporate into itself natural science: there will be one science.",Karl Marx
443355,Those who know how to think need no teachers.,Mahatma Gandhi
443387,"On the first day of school, my teacher, Miss Mdingane, gave each of us an English name and said that from thenceforth that was the name we would answer to in school. This was the custom among Africans in those days and was undoubtedly due to the British bias of our education.",Nelson Mandela
444260,"It may be possible to gild pure gold, but who can make his mother more beautiful?",Mahatma Gandhi
444287,Forget the past.,Nelson Mandela
444518,"When restraint and courtesy are added to strength, the latter becomes irresistible.",Mahatma Gandhi
444617,Confession of errors is like a broom which sweeps away the dirt and leaves the surface brighter and clearer. I feel stronger for confession.,Mahatma Gandhi
444796,Does anybody really think that they didn't get what they had because they didn't have the talent or the strength or the endurance or the commitment?,Nelson Mandela
444962,It is my own firm belief that the strength of the soul grows in proportion as you subdue the flesh.,Mahatma Gandhi
444977,"What I've learned is that unless it's an emergency, like a fire or brain surgery, hierarchy is not necessary and may be damaging. If you have a hierarchy, you're repeating the strengths and weaknesses of one person without allowing for the accumulative strength of a group.",Gloria Steinem
445336,"If patience is worth anything, it must endure to the end of time. And a living faith will last in the midst of the blackest storm.",Mahatma Gandhi
445733,"There is no easy walk to freedom anywhere, and many of us will have to pass through the valley of the shadow of death again and again before we reach the mountaintop of our desires.",Nelson Mandela
445939,"Let us all be brave enough to die the death of a martyr, but let no one lust for martyrdom.",Mahatma Gandhi
446037,"It is old age, rather than death, that is to be contrasted with life. Old age is life's parody, whereas death transforms life into a destiny: in a way it preserves it by giving it the absolute dimension. Death does away with time.",Simone de Beauvoir
446128,The government is tottering. We must deal it the death blow an any cost. To delay action is the same as death.,Vladimir Lenin
446167,Everything about aging in my experience so far has been a plus. Except the death part!,Gloria Steinem
446178,Fear of death makes us devoid both of valour and religion. For want of valour is want of religious faith.,Mahatma Gandhi
446599,"Nobody can give you freedom. Nobody can give you equality or justice or anything. If you're a man, you take it.",Malcolm X
446634,Genuine equality between the sexes can only be realized in the process of the socialist transformation of society as a whole.,Mao Zedong
446686,"If you have a dog, I must have a dog. If you have a rifle, I must have a rifle. If you have a club, I must have a club. This is equality.",Malcolm X
446764,"The demand for equal rights in every vocation of life is just and fair; but, after all, the most vital right is the right to love and be loved.",Emma Goldman
448370,The ruling ideas of each age have ever been the ideas of its ruling class.,Karl Marx
448743,Old age is a shipwreck.,Charles de Gaulle
449085,What is an adult? A child blown up by age.,Simone de Beauvoir
449479,"There is nothing I fear more than waking up without a program that will help me bring a little happiness to those with no resources, those who are poor, illiterate, and ridden with terminal disease.",Nelson Mandela
449509,Man falls from the pursuit of the ideal of plan living and high thinking the moment he wants to multiply his daily wants. Man's happiness really lies in contentment.,Mahatma Gandhi
449601,The first requisite for the happiness of the people is the abolition of religion.,Karl Marx
450047,Prayer is the key of the morning and the bolt of the evening.,Mahatma Gandhi
450385,"I have retired, but if there's anything that would kill me it is to wake up in the morning not knowing what to do.",Nelson Mandela
450970,I don't even call it violence when it's in self defense I call it intelligence.,Malcolm X
451923,"I am confident that nobody... will accuse me of selfishness if I ask to spend time, while I am still in good health, with my family, my friends and also with myself.",Nelson Mandela
452189,"Happy or unhappy, families are all mysterious. We have only to imagine how differently we would be described - and will be, after our deaths - by each of the family members who believe they know us.",Gloria Steinem
453355,"Africans require, want, the franchise on the basis of one man one vote. They want political independence.",Nelson Mandela
453893,"The first problem for all of us, men and women, is not to learn, but to unlearn.",Gloria Steinem
455538,"When I admire the wonders of a sunset or the beauty of the moon, my soul expands in the worship of the creator.",Mahatma Gandhi
455545,"Religion is the sigh of the oppressed creature, the heart of a heartless world, and the soul of soulless conditions. It is the opium of the people.",Karl Marx
455559,"Jesus is ideal and wonderful, but you Christians - you are not like him.",Mahatma Gandhi
455562,"Gentleness, self-sacrifice and generosity are the exclusive possession of no one race or religion.",Mahatma Gandhi
455579,Religion is the opium of the masses.,Karl Marx
455608,My religion is based on truth and non-violence. Truth is my God. Non-violence is the means of realising Him.,Mahatma Gandhi
455671,Monotheism makes me grouchy. I don't trust any religion that makes God look like one of the ruling class. I guess I'm a pagan or an animist.,Gloria Steinem
455689,Religion is the impotence of the human mind to deal with occurrences it cannot understand.,Karl Marx
455781,"If a man reaches the heart of his own religion, he has reached the heart of the others, too. There is only one God, and there are many paths to him.",Mahatma Gandhi
455837,"I believe in a religion that believes in freedom. Any time I have to accept a religion that won't let me fight a battle for my people, I say to hell with that religion.",Malcolm X
455893,Religion is more than life. Remember that his own religion is the truest to every man even if it stands low in the scales of philosophical comparison.,Mahatma Gandhi
456036,"My religion teaches me that whenever there is distress which one cannot remove, one must fast and pray.",Mahatma Gandhi
456076,Religion is a matter of the heart. No physical inconvenience can warrant abandonment of one's own religion.,Mahatma Gandhi
456077,"Every formula of every religion has in this age of reason, to submit to the acid test of reason and universal assent.",Mahatma Gandhi
456089,"There is nothing in our book, the Koran, that teaches us to suffer peacefully. Our religion teaches us to be intelligent.",Malcolm X
456369,"There is no better than adversity. Every defeat, every heartbreak, every loss, contains its own seed, its own lesson on how to improve your performance the next time.",Malcolm X
456381,I suppose leadership at one time meant muscles but today it means getting along with people.,Mahatma Gandhi
456474,We must use time wisely and forever realize that the time is always ripe to do right.,Nelson Mandela
456527,"I believe in the brotherhood of man, all men, but I don't believe in brotherhood with anybody who doesn't want brotherhood with me. I believe in treating people right, but I'm not going to waste my time trying to treat somebody right who doesn't know how to return the treatment.",Malcolm X
456617,"In time of difficulties, we must not lose sight of our achievements.",Mao Zedong
456799,"When one makes a Revolution, one cannot mark time; one must always go forward - or go back. He who now talks about the 'freedom of the press' goes backward, and halts our headlong course towards Socialism.",Vladimir Lenin
457157,"Childbirth is more admirable than conquest, more amazing than self-defense, and as courageous as either one.",Gloria Steinem
457158,There are so many men and women who hold no distinctive positions but whose contribution towards the development of society has been enormous.,Nelson Mandela
457172,"Obviously, there is much similarity among the challenges of transgender people and all women - from health care to harassment to discrimination in the workplace.",Gloria Steinem
457174,"I hate to generalize, but in general, both men and women suffer from ageism. Men much less because men gain power as they get older. Women lose power as they get older. Men are seen as gaining experience and being distinguished. Sons look forward to replacing their fathers.",Gloria Steinem
457204,The problem for all women is we're identified by how we look instead of by our heads and our hearts.,Gloria Steinem
457205,"I think if women are visible in the media, truly visible, in an empowered role, it empowers us to be more visible in any area of our lives.",Gloria Steinem
457246,Feminism has never been about getting a job for one woman. It's about making life more fair for women everywhere. It's not about a piece of the existing pie there are too many of us for that. It's about baking a new pie.,Gloria Steinem
457263,Some of us are becoming the men we wanted to marry.,Gloria Steinem
457461,The Miss America Pageant reinforces a belief that women are merely how they look and how they please.,Gloria Steinem
457531,"The history of progress is written in the blood of men and women who have dared to espouse an unpopular cause, as, for instance, the black man's right to his body, or woman's right to her soul.",Emma Goldman
457578,"If women are supposed to be less rational and more emotional at the beginning of our menstrual cycle when the female hormone is at its lowest level, then why isn't it logical to say that, in those few days, women behave the most like the way men behave all month long?",Gloria Steinem
457584,The most mediocre of males feels himself a demigod as compared with women.,Simone de Beauvoir
457645,"If women have young children, they are one man away from welfare.",Gloria Steinem
457654,"I've yet to be on a campus where most women weren't worrying about some aspect of combining marriage, children, and a career. I've yet to find one where many men were worrying about the same thing.",Gloria Steinem
457655,What has the women's movement learned from Geraldine Ferraro's candidacy for vice president? Never get married.,Gloria Steinem
457656,Most women's magazines simply try to mold women into bigger and better consumers.,Gloria Steinem
458091,The best way to destroy the capitalist system is to debauch the currency.,Vladimir Lenin
458403,Infinite striving to be the best is man's duty it is its own reward. Everything else is in God's hands.,Mahatma Gandhi
458505,You'll live. Only the best get killed.,Charles de Gaulle
458529,A good head and a good heart are always a formidable combination.,Nelson Mandela
458663,"A good leader can engage in a debate frankly and thoroughly, knowing that at the end he and the other side must be closer, and thus emerge stronger. You don't have that idea when you are arrogant, superficial, and uninformed.",Nelson Mandela
458779,Honest disagreement is often a good sign of progress.,Mahatma Gandhi
458804,Non-cooperation with evil is as much a duty as is cooperation with good.,Mahatma Gandhi
458892,What do I think of Western civilization? I think it would be a very good idea.,Mahatma Gandhi
459072,"A man who was completely innocent, offered himself as a sacrifice for the good of others, including his enemies, and became the ransom of the world. It was a perfect act.",Mahatma Gandhi
459073,"I look only to the good qualities of men. Not being faultless myself, I won't presume to probe into the faults of others.",Mahatma Gandhi
459155,"History repeats itself, first as tragedy, second as farce.",Karl Marx
459166,The history of all previous societies has been the history of class struggles.,Karl Marx
459176,History proves that the white man is a devil.,Malcolm X
459178,A small body of determined spirits fired by an unquenchable faith in their mission can alter the course of history.,Mahatma Gandhi
459181,Revolutions are the locomotives of history.,Karl Marx
459183,"Anyone who knows anything of history knows that great social changes are impossible without feminine upheaval. Social progress can be measured exactly by the social position of the fair sex, the ugly ones included.",Karl Marx
459218,It is impossible to predict the time and progress of revolution. It is governed by its own more or less mysterious laws.,Vladimir Lenin
459240,"Among the many misdeeds of the British rule in India, history will look upon the act depriving a whole nation of arms as the blackest.",Mahatma Gandhi
459242,"The people, and the people alone, are the motive force in the making of world history.",Mao Zedong
459269,"History is a people's memory, and without a memory, man is demoted to the lower animals.",Malcolm X
459312,"Classes struggle, some classes triumph, others are eliminated. Such is history; such is the history of civilization for thousands of years.",Mao Zedong
459363,I was France.,Charles de Gaulle
459364,I have tried to lift France out of the mud. But she will return to her errors and vomitings. I cannot prevent the French from being French.,Charles de Gaulle
459387,"History does nothing; it does not possess immense riches, it does not fight battles. It is men, real, living, who do all this.",Karl Marx
459392,The history of all countries shows that the working class exclusively by its own effort is able to develop only trade-union consciousness.,Vladimir Lenin
459440,It is not history which uses men as a means of achieving - as if it were an individual person - its own ends. History is nothing but the activity of men in pursuit of their ends.,Karl Marx
459491,"Never, never and never again shall it be that this beautiful land will again experience the oppression of one by another.",Nelson Mandela
459499,I think Hefner himself wants to go down in history as a person of sophistication and glamour. But the last person I would want to go down in history as is Hugh Hefner.,Gloria Steinem
459594,"The writer may very well serve a movement of history as its mouthpiece, but he cannot of course create it.",Karl Marx
460876,"The media's the most powerful entity on earth. They have the power to make the innocent guilty and to make the guilty innocent, and that's power. Because they control the minds of the masses.",Malcolm X
460904,"Power in defense of freedom is greater than power in behalf of tyranny and oppression, because power, real power, comes from our conviction which produces action, uncompromising action.",Malcolm X
460921,Political power grows out of the barrel of a gun.,Mao Zedong
461099,"Power can be taken, but not given. The process of the taking is empowerment in itself.",Gloria Steinem
461149,Communism is Soviet power plus the electrification of the whole country.,Vladimir Lenin
461341,"Man is supposed to be the maker of his destiny. It is only partly true. He can make his destiny, only in so far as he is allowed by the Great Power.",Mahatma Gandhi
461410,The sword is the axis of the world and its power is absolute.,Charles de Gaulle
461484,Men should think twice before making widow hood woman's only path to power.,Gloria Steinem
461837,The goal of Dr. Martin Luther King is to give Negroes a chance to sit in a segregated restaurant beside the same white man who had brutalized them for 400 years.,Malcolm X
462346,The true statesman is the one who is willing to take risks.,Charles de Gaulle
462928,"Non-violence requires a double faith, faith in God and also faith in man.",Mahatma Gandhi
463022,"God may be in the details, but the goddess is in the questions. Once we begin to ask them, there's no turning back.",Gloria Steinem
463067,"God is, even though the whole world deny him. Truth stands, even if there be no public support. It is self-sustained.",Mahatma Gandhi
463144,"There is nothing that wastes the body like worry, and one who has any faith in God should be ashamed to worry about anything whatsoever.",Mahatma Gandhi
463255,"Sense perceptions can be and often are false and deceptive, however real they may appear to us. Where there is realization outside the senses, it is infallible. It is proved not by extraneous evidence but in the transformed conduct and character of those who have felt the real presence of God within.",Mahatma Gandhi
463268,I do not want to foresee the future. I am concerned with taking care of the present. God has given me no control over the moment following.,Mahatma Gandhi
463390,"The Negro revolution is controlled by foxy white liberals, by the Government itself. But the Black Revolution is controlled only by God.",Malcolm X
463395,"I will far rather see the race of man extinct than that we should become less than beasts by making the noblest of God's creation, woman, the object of our lust.",Mahatma Gandhi
463436,"Where love is, there God is also.",Mahatma Gandhi
463461,"God, as Truth, has been for me a treasure beyond price. May He be so to every one of us.",Mahatma Gandhi
463528,"Despite my firm convictions, I have always been a man who tries to face facts, and to accept the reality of life as new experience and new knowledge unfolds. I have always kept an open mind, a flexibility that must go hand in hand with every form of the intelligent search for truth.",Malcolm X
463656,"If you want to know the taste of a pear, you must change the pear by eating it yourself. If you want to know the theory and methods of revolution, you must take part in revolution. All genuine knowledge originates in direct experience.",Mao Zedong
464743,"At the outset, I want to say that the suggestion that the struggle in South Africa is under the influence of foreigners or communists is wholly incorrect. I have done whatever I did because of my experience in South Africa and my own proudly felt African background, and not because of what any outsider might have said.",Nelson Mandela
464841,Experience praises the most happy the one who made the most people happy.,Karl Marx
464900,God cannot be realized through the intellect. Intellect can lead one to a certain extent and no further. It is a matter of faith and experience derived from that faith.,Mahatma Gandhi
465281,Fear has its use but cowardice has none.,Mahatma Gandhi
465668,Only he can take great resolves who has indomitable faith in God and has fear of God.,Mahatma Gandhi
465879,"It is better to lead from behind and to put others in front, especially when you celebrate victory when nice things occur. You take the front line when there is danger. Then people will appreciate your leadership.",Nelson Mandela
465881,I suppose leadership at one time meant muscles but today it means getting along with people. ,Mahatma Gandhi
466110,The great leaders have always stage-managed their effects.,Charles de Gaulle
466203,"Clearly no one knows what leadership has gone undiscovered in women of all races, and in black and other minority men.",Gloria Steinem
468480,"I'm for truth, no matter who tells it. I'm for justice, no matter who it's for or against.",Malcolm X
468483,"Truth stands, even if there be no public support. It is self-sustained.",Mahatma Gandhi
468490,A lie told often enough becomes the truth.,Vladimir Lenin
468502,Morality is the basis of things and truth is the substance of all morality.,Mahatma Gandhi
468540,Non-violence and truth are inseparable and presuppose one another.,Mahatma Gandhi
468575,"Even if you are a minority of one, the truth is the truth.",Mahatma Gandhi
468615,I have nothing new to teach the world. Truth and Non-violence are as old as the hills. All I have done is to try experiments in both on as vast a scale as I could.,Mahatma Gandhi
468730,I tore myself away from the safe comfort of certainties through my love for truth - and truth rewarded me.,Simone de Beauvoir
468749,"An error does not become truth by reason of multiplied propagation, nor does truth become error because nobody sees it.",Mahatma Gandhi
468869,The pursuit of truth does not permit violence on one's opponent.,Mahatma Gandhi
468907,I am a humble but very earnest seeker after truth.,Mahatma Gandhi
468972,"All the religions of the world, while they may differ in other respects, unitedly proclaim that nothing lives in this world but Truth.",Mahatma Gandhi
469024,"Defending the truth is not something one does out of a sense of duty or to allay guilt complexes, but is a reward in itself.",Simone de Beauvoir
469220,We've begun to raise daughters more like sons... but few have the courage to raise our sons more like our daughters.,Gloria Steinem
469929,The greatness of a nation can be judged by the way its animals are treated.,Mahatma Gandhi
470032,Man becomes great exactly in the degree in which he works for the welfare of his fellow-men.,Mahatma Gandhi
470429,It is health that is real wealth and not pieces of gold and silver.,Mahatma Gandhi
470510,"Mama grizzlies mate later than other bears. They have two cubs instead of four. They wait four years - about twice as long as other bears - between having cubs. And after they're pregnant, if winter is hard or their health is not good or the food supply is uncertain, they re-absorb the embryo into their body.",Gloria Steinem
470652,"Capital is reckless of the health or length of life of the laborer, unless under compulsion from society.",Karl Marx
471217,"I would wear the blue overalls of the fieldworker and often wore round, rimless glasses known as Mazzawati teaglasses. I had a car, and I wore a chauffeur's cap with my overalls. The pose of chauffeur was convenient because I could travel under the pretext of driving my master's car.",Nelson Mandela
471970,"One's life has value so long as one attributes value to the life of others, by means of love, friendship, indignation and compassion.",Simone de Beauvoir
472009,"No one has yet realized the wealth of sympathy, the kindness and generosity hidden in the soul of a child. The effort of every true education should be to unlock that treasure.",Emma Goldman
474319,"You're not supposed to be so blind with patriotism that you can't face reality. Wrong is wrong, no matter who says it.",Malcolm X
474548,"You must not lose faith in humanity. Humanity is an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.",Mahatma Gandhi
474642,Faith... must be enforced by reason... when faith becomes blind it dies.,Mahatma Gandhi
474668,"I did once seriously think of embracing the Christian faith. The gentle figure of Christ, so full of forgiveness that he taught his followers not to retaliate when abused or struck, but to turn the other cheek - I thought it was a beautiful example of the perfect man.",Mahatma Gandhi
474675,Non-violence is the article of faith.,Mahatma Gandhi
474683,Intolerance betrays want of faith in one's cause.,Mahatma Gandhi
474817,Each one prays to God according to his own light.,Mahatma Gandhi
474886,"But for my faith in God, I should have been a raving maniac.",Mahatma Gandhi
474976,"Before the throne of the Almighty, man will be judged not by his acts but by his intentions. For God alone reads our hearts.",Mahatma Gandhi
476132,"On rare occasions one does hear of a miraculous case of a married couple falling in love after marriage, but on close examination it will be found that it is a mere adjustment to the inevitable.",Emma Goldman
476289,A liberated woman is one who has sex before marriage and a job after.,Gloria Steinem
476425,"I was never against marriage per se. Before feminism, I didn't think you had any choice. In fact, for a long time I always assumed I would get married. I just didn't see any marriages I wanted to emulate, so I kept putting it off.",Gloria Steinem
478633,Perfect is boring: Beauty is irregular.,Gloria Steinem
479859,"You may be sure that the Americans will commit all the stupidities they can think of, plus some that are beyond imagination.",Charles de Gaulle
480719,To catch a husband is an art to hold him is a job.,Simone de Beauvoir
480856,"There is in fact no such thing as art for art's sake, art that stands above classes, art that is detached from or independent of politics. Proletarian literature and art are part of the whole proletarian revolutionary cause.",Mao Zedong
481012,No real social change has ever been brought about without a revolution... revolution is but thought carried into action.,Emma Goldman
481031,There are no morals in politics there is only expedience. A scoundrel may be of use to us just because he is a scoundrel.,Vladimir Lenin
481047,"It is better to be violent, if there is violence in our hearts, than to put on the cloak of nonviolence to cover impotence.",Mahatma Gandhi
481049,"If voting changed anything, they'd make it illegal.",Emma Goldman
481072,"If the United States of America or Britain is having elections, they don't ask for observers from Africa or from Asia. But when we have elections, they want observers.",Nelson Mandela
481119,"To rely upon conviction, devotion, and other excellent spiritual qualities; that is not to be taken seriously in politics.",Vladimir Lenin
481126,"Since a politician never believes what he says, he is quite surprised to be taken at his word.",Charles de Gaulle
481217,The first resistance to social change is to say it's not necessary.,Gloria Steinem
481257,"Before I went to jail, I was active in politics as a member of South Africa's leading organization - and I was generally busy from 7 A.M. until midnight. I never had time to sit and think.",Nelson Mandela
481261,"In order to become the master, the politician poses as the servant.",Charles de Gaulle
481307,"When I came to Johannesburg from the countryside, I knew nobody, but many strangers were very kind to me. I then was dragged into politics, and then, subsequently, I became a lawyer.",Nelson Mandela
481311,In politics it is necessary either to betray one's country or the electorate. I prefer to betray the electorate.,Charles de Gaulle
481350,"Politics begin where the masses are, not where there are thousands, but where there are millions, that is where serious politics begin.",Vladimir Lenin
481795,The differences between friends cannot but reinforce their friendship.,Mao Zedong
482304,"To the indefinite, uncertain mind of the American radical the most contradictory ideas and methods are possible. The result is a sad chaos in the radical movement, a sort of intellectual hash, which has neither taste nor character.",Emma Goldman
482325,"Being an old farm boy myself, chickens coming home to roost never did make me sad; they've always made me glad.",Malcolm X
483052,"Capitalist production, therefore, develops technology, and the combining together of various processes into a social whole, only by sapping the original sources of all wealth - the soil and the labourer.",Karl Marx
483464,"If technology and medicine are used by women to have children or not to have children or to have healthier children - that's one thing. But if it's used to say, 'You're not a real woman unless you have a child; therefore, take all these dangerous hormones and have one at 54,' then it's another story.",Gloria Steinem
483924,"Morality and its victim, the mother - what a terrible picture! Is there indeed anything more terrible, more criminal, than our glorified sacred function of motherhood?",Emma Goldman
484696,The oppressed are allowed once every few years to decide which particular representatives of the oppressing class are to represent and repress them in parliament.,Vladimir Lenin
484747,How can anyone govern a nation that has two hundred and forty-six different kinds of cheese?,Charles de Gaulle
484779,There are many people who feel that it is useless and futile to continue talking about peace and non-violence against a government whose only reply is savage attacks on an unarmed and defenseless people.,Nelson Mandela
485770,"Money won't create success, the freedom to make it will.",Nelson Mandela
485815,"The writer must earn money in order to be able to live and to write, but he must by no means live and write for the purpose of making money.",Karl Marx
485823,"Capital is money, capital is commodities. By virtue of it being value, it has acquired the occult ability to add value to itself. It brings forth living offspring, or, at the least, lays golden eggs.",Karl Marx
486264,It is more rewarding to watch money change the world than watch it accumulate.,Gloria Steinem
486412,"Education is the passport to the future, for tomorrow belongs to those who prepare for it today.",Malcolm X
486459,"Without education, you are not going anywhere in this world.",Malcolm X
486490,"Without education, your children can never really meet the challenges they will face. So it's very important to give children education and explain that they should play a role for their country.",Nelson Mandela
486510,You can't legislate good will - that comes through education.,Malcolm X
486783,"Good education, housing and jobs are imperatives for the Negroes, and I shall support them in their fight to win these objectives, but I shall tell the Negroes that while these are necessary, they cannot solve the main Negro problem.",Malcolm X
486898,Purity of personal life is the one indispensable condition for building up a sound education.,Mahatma Gandhi
486900,"The education I received was a British education, in which British ideas, British culture, British institutions, were automatically assumed to be superior. There was no such thing as African culture.",Nelson Mandela
486953,"All claims of education notwithstanding, the pupil will accept only that which his mind craves.",Emma Goldman
487128,"Whatever position I occupied, it was the result of colleagues - of my comrades in the movement - who had decided in their wisdom to use me for the purpose of focusing the attention of the country and the international community on me.",Nelson Mandela
488443,An eye for an eye only ends up making the whole world blind.,Mahatma Gandhi
488460,The meaning of peace is the absence of opposition to socialism.,Karl Marx
488479,You can't separate peace from freedom because no one can be at peace unless he has his freedom.,Malcolm X
488481,"People respond in accordance to how you relate to them. If you approach them on the basis of violence, that's how they'll react. But if you say, 'We want peace, we want stability,' we can then do a lot of things that will contribute towards the progress of our society.",Nelson Mandela
488513,I dream of an Africa which is in peace with itself.,Nelson Mandela
488567,Peace is its own reward.,Mahatma Gandhi
488583,"Give a child love, laughter and peace, not AIDS.",Nelson Mandela
488749,"The Honorable Elijah Muhammad teaches us that God, now, is about to establish a kingdom on this earth, based upon brotherhood and peace. And the white man is against brotherhood, and the white man is against peace.",Malcolm X
488760,Intervention only works when the people concerned seem to be keen for peace.,Nelson Mandela
489191,My life is my message.,Mahatma Gandhi
489238,There is more to life than increasing its speed.,Mahatma Gandhi
489485,"Power doesn't back up in the face of a smile, or in the face of a threat of some kind of nonviolent loving action. It's not the nature of power to back up in the face of anything but some more power.",Malcolm X
490129,I'd like to be played as a child by Natalie Wood. I'd have some romantic scenes as Audrey Hepburn and have gritty black-and-white scenes as Patricia Neal.,Gloria Steinem
490881,Spiritual relationship is far more precious than physical. Physical relationship divorced from spiritual is body without soul.,Mahatma Gandhi
491510,If you have no critics you'll likely have no success.,Malcolm X
492848,"I believe in the brotherhood of all men, but I don't believe in wasting brotherhood on anyone who doesn't want to practice it with me. Brotherhood is a two-way street.",Malcolm X
492896,Envy blinds men and makes it impossible for them to think clearly.,Malcolm X
492902,Only free men can negotiate. A prisoner cannot enter into contracts.,Nelson Mandela
492920,"Landlords, like all other men, love to reap where they never sowed.",Karl Marx
492941,It has always been a mystery to me how men can feel themselves honoured by the humiliation of their fellow beings.,Mahatma Gandhi
492954,Men's ideas are the most direct emanations of their material state.,Karl Marx
492994,The graveyards are full of indispensable men.,Charles de Gaulle
493113,"In the Muslim world, I had seen that men with white complexions were more genuinely brotherly than anyone else had ever been. That... was the start of a radical alteration in my whole outlook about 'white men.'",Malcolm X
493149,"Deliberation is the work of many men. Action, of one alone.",Charles de Gaulle
493247,Anger is the enemy of non-violence and pride is a monster that swallows it up.,Mahatma Gandhi
493250,Anger and intolerance are the enemies of correct understanding.,Mahatma Gandhi
493390,"I know, to banish anger altogether from one's breast is a difficult task. It cannot be achieved through pure personal effort. It can be done only by God's grace.",Mahatma Gandhi
493411,"Anger is energising. The opposite of anger is depression, which is anger turned inward.",Gloria Steinem
494123,You must be the change you wish to see in the world.,Mahatma Gandhi
494217,"The ultimate end of all revolutionary social change is to establish the sanctity of human life, the dignity of man, the right of every human being to liberty and well-being.",Emma Goldman
494430,Are creeds such simple things like the clothes which a man can change at will and put on at will? Creeds are such for which people live for ages and ages.,Mahatma Gandhi
494451,The spirit of democracy is not a mechanical thing to be adjusted by abolition of forms. It requires change of heart.,Mahatma Gandhi
494463,"If the shoe doesn't fit, must we change the foot?",Gloria Steinem
494640,"Every daring attempt to make a great change in existing conditions, every lofty vision of new possibilities for the human race, has been labeled Utopian.",Emma Goldman
495567,The surest way to be alone is to get married.,Gloria Steinem
496442,A gender-equal society would be one where the word 'gender' does not exist: where everyone can be themselves.,Gloria Steinem
496454,There can be no keener revelation of a society's soul than the way in which it treats its children.,Nelson Mandela
496467,"In bourgeois society capital is independent and has individuality, while the living person is dependent and has no individuality.",Karl Marx
