,Author,Fake_Quote,Prompt,Model
1324,Jean-Paul Sartre,We are condemned to choices we never knew we made.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1325,Jeanette Winterson,Memory is the library of the self.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1326,Eduardo Galeano,"History is not written by the victors, but the survivors.","Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1327,Karl Popper,Doubt is the fuel of progress.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1328,Haruki Murakami,Loneliness is a hallway disguised as a room.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1329,Audre Lorde,"Silence, too, is a form of protest.","Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1330,David Foster Wallace,The internet is what happens when thoughts lose their gravity.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1331,Simone Weil,Compassion is resistance in soft clothes.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1332,Greta Thunberg,"If adults were brave, we wouldn’t need child activists.","Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1333,Thomas Sowell,Economics is common sense filtered through ideology.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1334,Isabel Allende,Imagination is a passport you stamp with every book.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1335,Steven Pinker,Progress is a mirror we’ve forgotten how to clean.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1336,Pope Francis,Mercy without justice is sentimentality.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1337,Zadie Smith,Style is just memory in motion.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1338,Ta-Nehisi Coates,"Racism is not a glitch, it's the feature we forgot to patch.","Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1339,Samantha Irby,Anxiety is just your brain throwing a surprise party.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1340,James Clear,Habits are the architecture of identity.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1341,Jared Diamond,"Civilizations fall the way relationships do — slowly, then suddenly.","Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1342,bell hooks,Patriarchy teaches fear before we even learn language.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1343,Gabor Maté,Trauma whispers even when the body is silent.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1344,Max Weber,Bureaucracy is organized confusion.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1345,Alain de Botton,We don’t suffer because we lack meaning — we suffer because we demand it.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1346,Barack Obama,Hope is the hardest habit to break.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1347,Michelle Obama,"Success means being fully present, not constantly performing.","Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1348,Condoleezza Rice,Diplomacy is choosing your moment to disappoint politely.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1349,Kofi Annan,Human rights begin where excuses end.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1350,Desmond Tutu,Forgiveness is justice in a different accent.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1351,Martha Nussbaum,Empathy is not a feeling — it’s a choice.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1352,Stephen Hawking,Curiosity is what keeps the universe interesting.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1353,Bo Burnham,Satire is the scream we disguise with a joke.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1354,Hannah Arendt,Evil begins when thought becomes optional.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1355,Albert Einstein,Imagination is the echo of understanding yet to arrive.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1356,Mahatma Gandhi,Change begins when silence becomes uncomfortable.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1357,Winston Churchill,A nation that forgets to laugh will never truly be free.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1358,Marie Curie,Discovery is simply curiosity dressed in discipline.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1359,Leonardo da Vinci,A machine is only as elegant as the mind that conceives it.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1360,Mark Twain,"History doesn’t repeat itself, but it sure loves irony.","Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1361,Oscar Wilde,Sincerity is the most elaborate form of pretense.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1362,George Orwell,A lie repeated is propaganda; a truth ignored is compliance.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1363,Virginia Woolf,Thoughts are not guests — they are storms in disguise.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1364,Plato,The soul remembers what logic forgets.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1365,Confucius,A wise man eats silence for breakfast and speaks only at supper.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1366,Aristotle,Happiness belongs to those who question their certainty.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1367,Voltaire,"To understand the world, one must first doubt its map.","Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1368,Ralph Waldo Emerson,Dream boldly — the universe listens to echoes.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1369,Emily Dickinson,Hope wears a quiet dress but walks like thunder.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1370,Martin Luther King Jr.,Justice is not law — it is the refusal to look away.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1371,Nelson Mandela,"Courage is not the absence of fear, but the refusal to whisper.","Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1372,Carl Sagan,Science is simply organized wonder.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1373,Stephen Hawking,A black hole teaches us the value of nothing.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1374,Sigmund Freud,Every symptom is a whisper from the unconscious.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1375,Fyodor Dostoevsky,"In suffering, man finds the ink to write his soul.","Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1376,Pablo Picasso,Art begins where order breaks its frame.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1377,Frida Kahlo,Pain paints more honestly than joy ever could.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1378,Nikola Tesla,Electricity will outdream the candle.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1379,Jane Austen,A conversation is courtship in slow motion.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1380,Socrates,The unexamined life is the loudest.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1381,Blaise Pascal,Faith is the bridge between numbers and miracles.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1382,Sun Tzu,"Victory is prepared, not promised.","Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
